,Name,Price,Images,Links
10,"realme 9 5G (Supersonic Blue, 64 GB)","₹15,999",https://rukminim1.flixcart.com/image/312/312/l4fxh8w0/mobile/o/q/j/-original-imagfc55exgt8eey.jpeg?q=70,https://www.flipkart.com/realme-9-5g-supersonic-blue-64-gb/p/itm4f3814d50ff53?pid=MOBGDGZFXYZ4NFYM&lid=LSTMOBGDGZFXYZ4NFYMHOVCPY&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGDGZFXYZ4NFYM.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
11,"realme 9 5G (Meteor Black, 128 GB)","₹17,499",https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/mobile/e/f/b/-original-imagcb64e6mywt9j.jpeg?q=70,https://www.flipkart.com/realme-9-5g-meteor-black-128-gb/p/itm4f3814d50ff53?pid=MOBGC2Q58FGNXWSN&lid=LSTMOBGC2Q58FGNXWSNDSFZAN&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGC2Q58FGNXWSN.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
12,"realme C35 (Glowing Green, 64 GB)","₹11,999",https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/y/g/i/-original-imagc7ryyhrrcgxh.jpeg?q=70,https://www.flipkart.com/realme-c35-glowing-green-64-gb/p/itmafb045222b2cf?pid=MOBGBTHFSKHF8RAU&lid=LSTMOBGBTHFSKHF8RAUQONXWY&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGBTHFSKHF8RAU.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
13,"realme 9i (Prism Black, 128 GB)","₹14,999",https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBGBMZH9X7PQZJZ&lid=LSTMOBGBMZH9X7PQZJZNQTN2Q&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGBMZH9X7PQZJZ.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
14,"realme C31 (Dark Green, 32 GB)","₹9,299",https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/p/r/0/-original-imagcyj2prahc4pk.jpeg?q=70,https://www.flipkart.com/realme-c31-dark-green-32-gb/p/itme0f2960da9bbb?pid=MOBGCGVAXYT3EGYR&lid=LSTMOBGCGVAXYT3EGYRW8CSTQ&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGCGVAXYT3EGYR.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
15,"realme C35 (Glowing Black, 64 GB)","₹11,999",https://rukminim1.flixcart.com/image/312/312/l0fm07k0/mobile/1/k/g/-original-imagc7ukmgugpdfy.jpeg?q=70,https://www.flipkart.com/realme-c35-glowing-black-64-gb/p/itmafb045222b2cf?pid=MOBGBTHFDQXQEGNS&lid=LSTMOBGBTHFDQXQEGNSZWXHXJ&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGBTHFDQXQEGNS.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
16,"realme Narzo 50i (Mint Green, 32 GB)","₹7,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/s/o/j/narzo-50i-rmx3231-realme-original-imag75h86v5thnzy.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-mint-green-32-gb/p/itm53fa214c23501?pid=MOBG6MY4BU22NQYT&lid=LSTMOBG6MY4BU22NQYTJPXWNF&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG6MY4BU22NQYT.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
17,"realme Narzo 50i (Carbon Black, 32 GB)","₹7,499",https://rukminim1.flixcart.com/image/312/312/ktx9si80/mobile/h/b/c/narzo-50i-rmx3231-realme-original-imag75hcyzzggbat.jpeg?q=70,https://www.flipkart.com/realme-narzo-50i-carbon-black-32-gb/p/itm53fa214c23501?pid=MOBG6MY4QPAW6PQN&lid=LSTMOBG6MY4QPAW6PQN4SSHMQ&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG6MY4QPAW6PQN.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
18,"realme 9i (Prism Blue, 128 GB)","₹15,999",https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-blue-128-gb/p/itm3e9987219f652?pid=MOBG9VGV2Q9PDXHN&lid=LSTMOBG9VGV2Q9PDXHNX3XN33&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG9VGV2Q9PDXHN.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
19,"realme 9i (Prism Black, 64 GB)","₹13,499",https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-64-gb/p/itm3e9987219f652?pid=MOBG9VGVYG2XHZGR&lid=LSTMOBG9VGVYG2XHZGRYBJYA7&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG9VGVYG2XHZGR.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
20,"realme C31 (Dark Green, 64 GB)","₹9,999",https://rukminim1.flixcart.com/image/312/312/l1dwknk0/mobile/p/r/0/-original-imagcyj2prahc4pk.jpeg?q=70,https://www.flipkart.com/realme-c31-dark-green-64-gb/p/itme0f2960da9bbb?pid=MOBGCGVAZXRCZJNE&lid=LSTMOBGCGVAZXRCZJNEAEVV0M&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGCGVAZXRCZJNE.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
21,"realme 9 Pro+ 5G (Sunrise Blue, 256 GB)","₹28,999",https://rukminim1.flixcart.com/image/312/312/kzogn0w0/mobile/m/p/2/-original-imagbmf4qsurna5j.jpeg?q=70,https://www.flipkart.com/realme-9-pro-5g-sunrise-blue-256-gb/p/itm15e7a06fe9352?pid=MOBGB5Y3GEWFGSG2&lid=LSTMOBGB5Y3GEWFGSG2OA89W5&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBGB5Y3GEWFGSG2.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
22,"realme 9i (Prism Black, 128 GB)","₹15,999",https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/m/r/u/-original-imagagnffruu7ptd.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-black-128-gb/p/itm3e9987219f652?pid=MOBG9VGV65TK6YZG&lid=LSTMOBG9VGV65TK6YZGOTCEDF&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG9VGV65TK6YZG.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
23,"realme 9i (Prism Blue, 64 GB)","₹13,499",https://rukminim1.flixcart.com/image/312/312/ky90scw0/mobile/s/5/d/-original-imagagnfgh6ed7tp.jpeg?q=70,https://www.flipkart.com/realme-9i-prism-blue-64-gb/p/itm3e9987219f652?pid=MOBG9VGVKUM4XNRR&lid=LSTMOBG9VGVKUM4XNRRJW5YNZ&marketplace=FLIPKART&q=real+me+mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=0dd24c28-be01-4970-83bc-ccc911169e52.MOBG9VGVKUM4XNRR.SEARCH&ppt=None&ppn=None&ssid=m3ig5n28lc0000001657215147450&qH=1c3fbddc50d59297
